phone_names,phone_money,phone_chips,phone_memories,phone_screens,camera_selfies
Samsung Galaxy Z Fold5 5G 256GB ,31990000,Snapdragon 8 Gen 2,256,7.6 inch,10.0 MP + 4.0 MP
iPhone 15 Pro 128GB ,29490000,Apple A17 Pro,128,6.1 inch,12.0 MP
iPhone 14 Pro Max 128GB ,25990000,Apple A16 Bionic,128,6.7 inch,12.0 MP
iPhone 15 Plus 128GB ,26490000,Apple A16 Bionic,128,6.7 inch,12.0 MP
iPhone 14 Pro 128GB ,23790000,Apple A16 Bionic,128,6.1 inch,12.0 MP
iPhone 15 128GB ,23490000,Apple A16 Bionic,128,6.1 inch,12.0 MP
iPhone 14 Plus 128GB ,21290000,Apple A15 Bionic,128,6.7 inch,12.0 MP
Samsung Galaxy S23 Plus 5G 256GB ,19990000,Snapdragon 8 Gen 2,256,6.6 inch,12.0 MP
OPPO Find N2 Flip ,19990000,MediaTek Dimensity 9000+ 5G,256,6.8 inch,32.0 MP
Asus ROG 6 DIABLO 16GB-512GB ,19990000,Snapdragon 8+ Gen 1,512,6.78 inch,12.0 MP
Samsung Galaxy S23 5G 256GB ,18990000,Snapdragon 8 Gen 2,256,6.1 inch,12.0 MP
iPhone 14 128GB ,18790000,Apple A15 Bionic,128,6.1 inch,12.0 MP
iPhone 13 128GB ,16390000,Apple A15 Bionic,128,6.1 inch,12.0 MP
Samsung Galaxy Z Flip4 5G 256GB Bespoke Edition ,13990000,Snapdragon 8+ Gen 1,256,6.7 inch,10.0 MP
Xiaomi 13T 12GB-256GB ,11990000,Dimensity 8200 Ultra,256,6.7 inch,20.0 MP
realme 11 Pro 5G 8GB-256GB ,11490000,MediaTek Dimensity 7050 5G,256,6.7 inch,16.0 MP
Vivo V25 Pro 5G 8GB-128GB ,9990000,MediaTek Dimensity 1300 5G,128,6.56 inch,32.0 MP
Samsung Galaxy M34 5G 128GB ,7690000,Exynos 1280,128,6.5 inch,13.0 MP
Honor X9A 5G 8GB-256GB ,7490000,Snapdragon 695 5G,256,6.67 inch,16.0 MP
realme 11 4G 8GB-128GB ,6990000,MediaTek Helio G99,128,6.4 inch,16.0 MP
Vivo V25 5G 8GB-128GB ,10490000,MediaTek Dimensity 900,128,6.44 inch,50.0 MP
Vivo V25e 8GB - 128GB ,5990000,MediaTek Helio G99,128,6.44 inch,32.0 MP
Xiaomi Redmi Note 12S 8GB-256GB ,5890000,MediaTek Helio G96,256,6.43 inch,16.0 MP
Samsung Galaxy A23 5G ,5190000,Snapdragon 695 5G,128,6.6 inch,8.0 MP
Xiaomi Redmi Note 11S 8GB - 128GB ,4990000,MediaTek Helio G96,128,6.43 inch,16.0 MP
OPPO A17 4GB-64GB ,3490000,Helio G35,64,6.56 inch,5.0 MP
Nokia C32 ,3090000,Unisoc SC9863A1,128,6.5 inch,8.0 MP
Samsung Galaxy A05 128GB ,3090000,Helio G85,128,6.7 inch,8.0 MP
realme C30s 3GB-64GB ,2390000,Unisoc SC9863A1,64,6.5 inch,5.0 MP
Xiaomi Redmi A2 2GB-32GB ,1990000,MediaTek Helio G36,32,6.52 inch,5.0 MP
Vivo Y02 2GB-32GB ,1890000,Helio P22,32,6.51 inch,5.0 MP
Masstel Hapi 30 4G ,1490000,Spreadtrum SC9863A,32,6.26 inch,5.0 MP
